"Patterns"	"Freq"	"Percent"	"Length"	"Freq1"	"Percent1"
"0D0D"	9	"31.03%"	4	7	"24.14%"
"0E0E"	8	"27.59%"	4	5	"17.24%"
"E0E0"	8	"27.59%"	4	5	"17.24%"
"D0D"	28	"96.55%"	3	15	"51.72%"
"E0E"	21	"72.41%"	3	11	"37.93%"
"F0F"	18	"62.07%"	3	10	"34.48%"
"B0B"	17	"58.62%"	3	11	"37.93%"
"0C0"	15	"51.72%"	3	11	"37.93%"
"0D0"	15	"51.72%"	3	9	"31.03%"
"0E0"	15	"51.72%"	3	8	"27.59%"
"0F0"	14	"48.28%"	3	8	"27.59%"
"C0C"	14	"48.28%"	3	10	"34.48%"
"020"	12	"41.38%"	3	7	"24.14%"
"404"	12	"41.38%"	3	9	"31.03%"
"030"	11	"37.93%"	3	5	"17.24%"
"0A0"	11	"37.93%"	3	7	"24.14%"
"0B0"	11	"37.93%"	3	6	"20.69%"
"303"	11	"37.93%"	3	5	"17.24%"
"A0A"	11	"37.93%"	3	10	"34.48%"
"040"	10	"34.48%"	3	7	"24.14%"
"0G0"	10	"34.48%"	3	8	"27.59%"
"101"	10	"34.48%"	3	6	"20.69%"
"4D0"	10	"34.48%"	3	5	"17.24%"
"EF0"	10	"34.48%"	3	8	"27.59%"
"010"	9	"31.03%"	3	5	"17.24%"
"0EF"	9	"31.03%"	3	8	"27.59%"
"212"	9	"31.03%"	3	6	"20.69%"
"CDE"	9	"31.03%"	3	7	"24.14%"
"0BC"	8	"27.59%"	3	8	"27.59%"
"0D4"	8	"27.59%"	3	5	"17.24%"
"CBC"	8	"27.59%"	3	3	"10.34%"
"D40"	8	"27.59%"	3	5	"17.24%"
